Arctopsyche sp. AA,AAアミメシマトビケラ
Tubuca arcuata,シオマネキ
Promachus yesonicus,シオヤアブ
Anomalodiscus squamosus,シオヤガイ
Orthetrum japonicum,シオヤトンボ
Chironomus salinarius,シオユスリカ
Aster tataricus,シオン
Pachyprotasis asteris,シオンキモンハバチ
Bethylus shiganus,シガアリガタバチ
Cycais gracilis,シカイスグモ
Phylocentropus shigae,シガイワトビケラ
Tripleurospermum tetragonospermum,シカギク
Dorcatoma shigaensis,シガキノコシバンムシ
Eleocharis wichurae,シカクイ
Stigmus quadriceps,シカクエンモンバチ
Schoenoplectiella x trapezoidea,シカクホタルイ
Alona quadrangularis,シカクミジンコ
Alonella,シカクミジンコモドキ属
Coelotes uozumii,シガクロヤチグモ
Leptusa deplanata,シガコケホソハネカクシ
Malacosoma dentata,シカタカレハ
Trichotichnus armiger,シガツヤゴモクムシ
Culicoides sigaensis,シガヌカカ
Liparis krameri,ジガバチソウ
Magallana sikamea,シカメガキ
Eocapnia shigensis,シガユキクロカワゲラ
Spongilla shikaribensis,シカリベツカイメン
Xysticus rostratus,シギカニグモ
Begonia cucullata,シキザキベゴニア
Ochthera japonica,シキシマカマバエ
Archaeomysis vulgaris,シキシマフクロアミ
Parydra japonica,シキシマワライミギワバエ
Digitalis purpurea,ジギタリス
Illicium anisatum,シキミ
Stephanitis svensoni,シキミグンバイ
Thalictrum actaeifolium,シギンカラマツ
Conchopus sigmiger,シグマクチナガイソアシナガバエ
Atypus karschii,ジグモ
Deparia japonica,シケシダ
Thrinax minomensis,シケシダトガリハバチ
Neostromboceros sinanensis,シケシダハバチ
Athyrium decurrentialatum,シケチシダ
Pyrgulina shigeyasui,シゲヤスイトカケギリガイ
Bembidion shikokuense,シコクアオマルガタミズギワゴミムシ
Tetragnatha vermiformis,シコクアシナガグモ
Tabanus shikokuensis,シコクアブ
Tettigometra shikokuana,シコクアリヅカウンカ
Pterostichus yoshidai,シコクオオズナガゴミムシ
Amystax shikokuanus,シコクオビモンヒョウタンゾウムシ
Bittacus sp.,シコクガガンボモドキ
Melasis shikokuensis,シコクカクムネコメツキダマシ
Philydrodes rufescens,シコクカタホソヨツメハネカクシ
Eupithecia shikokuensis,シコクカバナミシャク
Bythoxenites brevicornis,シコクカマヒゲアリヅカムシ
Palaeagapetus shikokuensis,シコクカメノコヒメトビケラ
Micromys minutus japonicus,シコクカヤネズミ
Mycodrosophila shikokuana,シコクキノコショウジョウバエ
Eocanthecona shikokuensis,シコククチブトカメムシ
Hatchiana ishiharai,シコククビボソジョウカイ
Zipanginia tosana,シコクグミトビハムシ
Neoriohelmis kuwatai,シコククロサワドロムシ
Malthodes masatakai,シコククロチビジョウカイ
Carabus hiurai,シコククロナガオサムシ
Cheilosia brevipila,シコククロハナアブ
Oedichirus kiuchii,シコククロバネアリガタハネカクシ
Cixidia shikokuana,シコクコガシラウンカ
Nacerdes spinicoxis hiraii,シコクコゲチャカミキリモドキ
Tettigoniopsis miyamotoi miyamotoi,シコクササキリモドキ
Actenicerus naomii,シコクシモフリコメツキ
Lycocerus shikokensis,シコクジョウカイ
Pristolycus shikokensis,シコクスジグロボタル
Stenus longisetosus,シコクタチゲメダカハネカクシ
Hydraena kitayamai,ジゴクダニダルマガムシ
Hydraena notsui,シコクダルマガムシ
Catops hisamatsui,シコクチビシデムシ
Horiella shikokensis,シコクチビマルトゲムシ
Contacyphon puncticeps shikokensis,シコクチビマルハナノミ
Sericania shikokuana,シコクチャイロコガネ
Mitella stylosa var.makinoi,シコクチャルメルソウ
Scutellathous shikokuanus,シコクツヤコメツキ
Trichotichnus shikokuensis,シコクツヤゴモクムシ
Ceracis shikokuensis,シコクツヤヒメツツキノコムシ
Arisaema iyoanum ssp.nakaianum,シコクテンナンショウ
Sorex shinto shikokensis,シコクトガリネズミ
Rhipidolestes hiraoi,シコクトゲオトンボ
Conchopus shikokianus,シコクナミイソアシナガバエ
Lopheros harmandi shikokuanus,シコクニセジュウジベニボタル
Onychodactylus kinneburi,シコクハコネサンショウウオ
Arabis serrata var.shikokiana,シコクハタザオ
Eusphalerum shikokuense,シコクハナムグリヨツメハネカクシ
Eleusine coracana,シコクビエ
Arthromelodes loebli,シコクヒサゴアリヅカムシ
Urotrichus talpoides centralis,シコクヒミズ
Bittacus sp.,シコクヒメガガンボモドキ
Pseudosieversia shikokensis,シコクヒメコブハナカミキリ
Microserangium shikokense,シコクヒメツヤテントウ
Pidonia mutata,シコクヒメハナカミキリ
Monochamus subfasciatus shikokensis,シコクヒメヒゲナガカミキリ
Lesteva shikokuana,シコクヒメミズギワヨツメハネカクシ
Brathinus shikokuensis,シコクヒョウタンヨツメハネカクシ
Pterostichus miyamai,シコクヒラタナガゴミムシ
Parapodisma niihamensis niihamensis,シコクフキバッタ
Parapodisma niihamensis hiurai,シコクフキバッタ紀伊半島亜種
Nephus shikokensis,シコクフタホシヒメテントウ
Chydaeus shikokuensis,シコクフトゴモクムシ
Melampyrum laxum var.laxum,シコクママコナ
Anthrenus shikokensis,シコクマルカツオブシムシ
Agathidium yoshidai,シコクマルタマキノコムシ
Georissus sakaii,シコクマルドロムシ
Mozartius shikokuensis kyushuensis,シコクマルマグソコガネ九州亜種
Mozartius shikokuensis shikokuensis,シコクマルマグソコガネ四国亜種
Fleutiauxellus kurotai,シコクミズギワコメツキ
Homotechnes motschulskyi tsurugi,シコクミヤマヒサゴコメツキ
Tainochus minutus,シコクムクゲアリヅカムシ
Harminius kurotai,シコクムネスジダンダラコメツキ
Pseudocrangonyx shikokunis,シコクメクラヨコエビ
Myolepta shikokuana,シコクモモブトホソハナアブ
Colpodes mutsuomiyatakei mutsuomiyatakei,シコクモリヒラタゴミムシ
Chloriona shikokuana,シコクヨシウンカ
Leptura ochraceofasciata ochrotela,シコクヨツスジハナカミキリ
Ranunculus subcorymbosus var.austrokurilensis,シコタンキンポウゲ
Saxifraga bronchialis ssp.funstonii var.rebunshirensis,シコタンソウ
Myodes rufocanus sikotanensis,シコタンヤチネズミ
Clethrionomys sikotanensis,シコタンヤチネズミ
Artemisia tanacetifolia,シコタンヨモギ
Parapsyche shikotsuensis,シコツシマトビケラ
Rhyacophila shikotsuensis,シコツナガレトビケラ
Ardisia quinquegona,シシアクチ
Angelica pubescens var.pubescens,シシウド
Alsangelisca takeuchii,シシウドハマダラミバエ
Blechnum niponicum,シシガシラ
Thrinax sasayamaensis,シシガシラハバチ
Pachyprotasis shishikuensis,シシクキモンハバチ
Tenthredo shishikuensis,シシクハバチ
Laccobius bedeli,シジミガムシ
Bathygobius peterophilus,シジミハゼ
Spirinchus lanceolatus,シシャモ
Parus minor,シジュウカラ
Branta hutchinsii,シジュウカラガン
Haplopteris flexuosa,シシラン
Lysionotus pauciflorus,シシンラン
Schoenoplectus nipponicus,シズイ
Carabus esakii esakii,シズオカオサムシ
Carabus esakii suruganus,シズオカオサムシ富士川流域以西亜種
Lathrobium shizuokaense,シズオカコバネナガハネカクシ
Eusphalerum shizuokanum,シズオカハナムグリヨツメハネカクシ
Glipostenoda shizuokana,シズオカヒメハナノミ
Theora lata,シズクガイ
Perilla frutescens var.crispa,シソ
Betula globispica,ジゾウカンバ
Ishikawatrechus saxatilis,ジゾウジメクラチビゴミムシ
Limnophila aromatica,シソクサ
Vandellia setulosa,シソバウリクサ
Scutellaria laeteviolacea,シソバタツナミ
Petrophora chlorosata,シダエダシャク
Jasminanthes mucronata,シタキソウ
Tirathaba mundella,シタキツヅリガ
Calliteara taiwana aurifera,シタキドクガ
Melittia inouei,シタキモモブトスカシバ
Microcalicha sordida,シタクモエダシャク
Dysaethria fulvihamata,シタクロオビフタオ
Vespula shidai,シダクロスズメバチ
Eilema flavociliata,シタクロホソバ
Trichopteryx hemana,シタコバネナミシャク
Eupithecia conterminata,シタジロカバナミシャク
Ptyobathra atrisquamella,シタジロクロマダラメイガ
Nola infralba,シタジロコブガ
Ugyops vittatus,シダスケバモドキ
Scolelepis lingulata,シタダシスピオ
Pristina jenkinae,シタノハミズミミズ
Thyas honesta,シタベニコノハ
Theretra alecto,シタベニスズメ
Hippotion celerio,シタベニセスジスズメ
Gymnoscelis semialbida,シタベニチビナミシャク
Lycorma delicatula,シタベニハゴロモ
Idaea roseomarginaria,シタベニヒメシャク
Japanagallia pteridis,シダヨコバイ
Notomastus latericeus,シダレイトゴカイ
Ficus benjamina,シダレガジュマル
Salix babylonica,シダレヤナギ
Salix babylonica x S. pierotii,シダレヤナギ×オオタチヤナギ
Salix babylonica var.babylonica x miyabeana ssp.gymnolepis,シダレヤナギ×カワヤナギ
Cyperus malaccensis ssp.monophyllus,シチトウイ
Dichaetomyia shichitoensis,シチトウハナゲバエ
Botrychium atrovirens,シチトウハナワラビ
Lantana camara ssp.aculeata,シチヘンゲ
Suaeda japonica,シチメンソウ
Leptodermis pulchella,シチョウゲ
Brachyopsis segaliensis,シチロウウオ
Tiphia dzickok,ジッコクコツチバチ
Hygrolycosa umidicola,シッチコモリグモ
Gongylidiellum murcidum,シッチヌカグモ
Evarcha arcuata,シッチハエトリ
Magnolia stellata,シデコブシ
Pristiphora amelanchieris,シデザクラハバチ
Asyneuma japonicum,シデシャジン
Cryphalus carpini,シデノコキクイムシ
Sphaerotrypes carpini,シデノマルキクイムシ
Ligustrum sinense,シナイボタ
Pseudorasbora pumila,シナイモツゴ
Crytotrachelus buqueti borealis,シナオオオサゾウムシ
Eunapius sinensis,シナカイメン
Anser cygnoides var.domesticus,シナガチョウ
Eutetrapha sedecimpunctata sedecimpunctata,シナカミキリ
Melilotus officinalis ssp.suaveolens,シナガワハギ
Pueraria lobata ssp.thomsonii,シナクズ
Adoretus sinicus,シナコイチャコガネ
Peltodytes sinensis,シナコガシラミズムシ
Gnorimosphaeroma chinesnse,シナコツブムシ
Orchestes miyatakei,シナサワグルミノミゾウムシ
Gonocephalum klappericki,シナスナゴミムシダマシ
Eragrostis curvula,シナダレスズメガヤ
Berosus fairmairei,シナトゲバゴマフガムシ
Paradarisa consonaria,シナトビスジエダシャク
Paralimna sinensis,シナナシジミギワバエ
Neocaridina davidi,シナヌマエビ
Ampedus masatoi,シナノアカコメツキ
Tetragnatha shinanoensis,シナノアシナガグモ
Rhyacophila curtior,シナノアミメナガレトビケラ
Rhagium heyrovskyi hayakawai,シナノエゾハイイロハナカミキリ
Onthophagus bivertex,シナノエンマコガネ
Macaria signaria,シナノオエダシャク
Plateumaris constricticollis babai,シナノオオミズクサハムシ
Bittacus sp.,シナノガガンボモドキ
Limoniscus hinakurai,シナノカネコメツキ
Tilia japonica var.japonica,シナノキ
Hylesinus tiliae,シナノキクイムシ
Trachys aurifluus,シナノキチビタマムシ
Psallus flavescens,シナノキトビカスミカメ
Ampedus sinanoensis,シナノクロコメツキ
Asaperda agapanthina,シナノクロフカミキリ
Cercyon shinanensis,シナノケシガムシ
Baetis shinanonis,シナノコカゲロウ
Primula tosaensis var.brachycarpa,シナノコザクラ
Oxypoda producta,シナノゴミハネカクシ
Arhopalus tobirensis,シナノサビカミキリ
Nivellia extensa yuzawai,シナノスミイロハナカミキリ
Onthophilus silvae,シナノセスジエンマムシ
Euphorbia sinanensis,シナノタイゲキ
Taraxacum venustum ssp.hondoense,シナノタンポポ
Aloconota punctifoveata,シナノドウナガヒメハネカクシ
Platypus severini,シナノナガキクイムシ
Dianthus shinanensis,シナノナデシコ
Culicoides sinanoensis,シナノヌカカ
Stenopsyche sinanoensis,シナノヒゲナガカワトビケラ
Pidonia suzukii,シナノヒメハナカミキリ
Falsomordellistena shinanoensis,シナノヒメハナノミ
Myxobdella sinanensis,シナノビル
Pediopsis kurentsovi,シナノヒロズヨコバイ
Myotis ikonnikovi hosonoi,シナノホオヒゲコウモリ
Myotis hosonoi,シナノホオヒゲコウモリ
Phloeotrya ishikawai,シナノホソナガクチキ
Nesticus monticola,シナノホラヒメグモ
Euroscaptor mizura ohtai,シナノミズラモグラ
Philydrodes parallelus,シナノミヤマカタホソヨツメハネカクシ
Mendoza pulchra,シナノヤハズハエトリ
Coregonus maraena,シナノユキマス
Hemipepsis sinensis,シナハグロクモバチ
Protaetia famelica scheini,シナハナムグリ半島亜種
Meretrix petechialis,シナハマグリ
Anopheles sinensis,シナハマダラカ
Eucera chinensis nigricaudata,シナヒゲナガハナバチ
Ischnopoda wei,シナヒメクビレハネカクシ
Andrena crassepunctata,シナヒメハナバチ
Paraneurus sinensis,シナヒメヒラタカメムシ
Lispe leucospila sinica,シナホソカトリバエ
Isoetes sinensis var.sinensis,シナミズニラ
Elophila sinicalis,シナミズメイガ
Forsythia viridissima var.viridissima,シナレンギョウ
Crocidura dsinezumi,ジネズミ
Crocidura dsinezumi,ジネズミ
Kurasawatrechus ichihashii,シノダチメクラチビゴミムシ
Lutzia shinonagai,シノナガカクイカ
Haematopota shinonagai,シノナガゴマフアブ
Angiometopa shinonagai,シノナガニクバエ
Peridea elzet,シノノメシャチホコ
Swertia swertopsis,シノノメソウ
Hitobia asiatica,シノノメトンビグモ
Ampedus shinoharai,シノハラアカコメツキ
Tenthredo shinoharai,シノハラハバチ
Megaperlodes niger,シノビアミメカワゲラ
Shinobius orientalis,シノビグモ
Sinodiaptomus(copepodid),シノヒゲナガケンミジンコ属（幼体）
Misgurnus sp.IR,シノビドジョウ
Davallia mariesii,シノブ
Epitonium gracile,シノブガイ
Arachniodes mutica,シノブカグマ
Paraprionospio patiens,シノブハネエラスピオ
Histrionicus histrionicus,シノリガモ
Zoysia japonica,シバ
Viola violacea var.violacea,シハイスミレ
Metapenaeus joyneri,シバエビ
Sphenophorus venatus vestitus,シバオサゾウムシ
Epistrophe shibakawae,シバカワオビヒラタアブ
Nipponocyrtus shibakawae,シバカワコガシラアブ
Bombylius shibakawae,シバカワツリアブ
Panorpa arakavae,シバカワトゲシリアゲ
Sweltsa shibakawae,シバカワミドリカワゲラ
Phlox subulata,シバザクラ
Neriene herbosa,シバサラグモ
Carex nervata,シバスゲ
Polionemobius mikado,シバスズ
Egesina shibatai,シバタアラゲサビカミキリ
Ptomaphaginus shibatai,シバタオニニセチビシデムシ
Acicnemis shibatai,シバタカレキゾウムシ
Mimogonellus yasutoshii,シバタクチキツツハネカクシ
Glyphonyx shibatai,シバタクチボソコメツキ
Syzeton shibatai,シバタクロニセクビボソムシ
Omalium shibatai,シバタセミゾヨツメハネカクシ
Proteinus shibatai,シバタチビハバビロハネカクシ
Quasimus shibatai shibatai,シバタチビマメコメツキ
Haterumelater bicarinatus shibatai,シバタチャイロコメツキ
Priochirus yasutoshii,シバタツノツツハネカクシ
Megapenthes shirozui taichii,シバタツヤケシコメツキ
Trichotichnus shibatai,シバタツヤゴモクムシ
Synuchus shibatai,シバタツヤヒラタゴミムシ
Gonioctena shibatai,シバタトホシハムシ
Pterostichus shibatai,シバタナガゴミムシ
Agrilus shibatai,シバタナガタマムシ
Eanus costalis shibatai,シバタニセヒラタコメツキ
Plateros shibatai,シバタハナボタル
Eusphalerum shibatai,シバタハナムグリヨツメハネカクシ
Megarthrus shibatai,シバタハバビロハネカクシ
Macrolagria shibatai,シバタハムシダマシ
Pselaphogenius shibatai,シバタヒゲナガアリヅカムシ
Glaphyra shibatai shibatai,シバタヒゲナガコバネカミキリ
Glipostenoda shibatai,シバタヒメハナノミ
Lesteva shibatai,シバタヒメミズギワヨツメハネカクシ
Stenus yasutoshii,シバタヒメメダカハネカクシ
Colpodes shibatai,シバタヒラタゴミムシ
Anaspis shibatai,シバタフナガタハナノミ
Trephionus shibataianus,シバタホソヒラタゴミムシ
Tachinus javanus,シバタマルクビハネカクシ
Tyraphus nitidus,シバチアリヅカムシ
Parapediasia teterella,シバツトガ
Scleranthus annuus,シバツメクサ
Triglochin asiatica,シバナ
Cinnamomum doederleinii,シバニッケイ
Smithia ciliata,シバネム
Desmodium heterocarpon,シバハギ
Nipponopsyche fuscescens,シバミノガ
Elytrigia repens,シバムギ
Salix japonica,シバヤナギ
Cinnamomum x takushii,シバヤブニッケイ
Pelecotoma septentrionalis,シバンオオハナノミ
Choragus anobioides,シバンガタノミヒゲナガゾウムシ
Lasioglossum zipangu,ジパングコハナバチ
Cephalonomia gallicola,シバンムシアリガタバチ
Scatella paludum,シピリカハマダラミギワバエ
Xestophrys javanicus,シブイロカヤキリ
Telmatoscopus obtusalus,シブイロハネヒラチョウバエ
Stenocladius flavipennis,シブイロヒゲボタル
Monodiamesa bathyphila,シブタニオオヤマユスリカ
Apogonia shibuyai,シブヤカンショコガネ
Crossocerus shibuyai,シブヤギングチ
Pleioblastus shibuyanus var.shibuyanus,シブヤザサ
Ancistrocerus trifasciatus shibuyai,シブヤスジドロバチ
Perigrapha circumducta,シベチャキリガ
Subacronicta concerpta,シベチャケンモン
Scopula supernivearia,シベチャシロヒメシャク
Limnodromus semipalmatus,シベリアオオハシシギ
Dolichoderus sibiricus,シベリアカタアリ
Atylotus plebeius sibiricus,シベリアキイロアブ
Rhagonycha sibirica,シベリアクロヒメジョウカイ
Cercyon ovillus,シベリアケシガムシ
Ampedus nigror,シベリアコクロコメツキ
Haematopota tamerlani,シベリアゴマフアブ
Emberiza pallasi,シベリアジュリン
Locustella certhiola,シベリアセンニュウ
Triplax sibirica connectens,シベリアチビオオキノコムシ
Catops lydiae,シベリアチビシデムシ
Walckenaeria korobeinikovi,シベリアツノヌカグモ
Sphegina sibrica,シベリアハナダカチビハナアブ
Papaver nudicaule,シベリアヒナゲシ
Bradycellus curtulus,シベリアヒメゴモクムシ
Andrena okabei sapporensis,シベリアヒメハナバチ
Amara majuscula,シベリアマルガタゴミムシ
Mizodorcatoma sibirica,シベリアミゾキノコシバンムシ
Agropsar sturninus,シベリアムクドリ
Gnaphosa sticta,シベリアメキリグモ
Lespedeza juncea,シベリアメドハギ
Lethenteron reissneri,シベリアヤツメ
Sibirhelus corpulentus,シベリアユミケシキスイ
Chimonobambusa quadrangularis,シホウチク
Anahita fauna,シボグモ
Zora spinimana,シボグモモドキ
Fowleria variegata,シボリ
Lysidice collaris,シボリイソメ
Patelloida pygmaea,シボリガイ
Scedella formosella,シホンケブカミバエ
Acidiella sapporensis,シホンハマダラミバエ
Mermitelocerus annulipes,シマアオカスミカメ
Emberiza aureola,シマアオジ
Boninthemis insularis,シマアカネ
Cirsium brevicaule,シマアザミ
Pseudocaranx dentex,シマアジ
Anas querquedula,シマアジ
Mesembrius peregrinus,シマアシブトハナアブ
Hepatica linealis,シマアツバ
Metrocoris histrio,シマアメンボ
Deporaus insularis,シマイクビチョッキリ
Rhynchopelates oxyrhynchus,シマイサキ
Dina lineata,シマイシビル
Maesa perlaria var.formosana,シマイズセンリョウ
Paratheuma insulana,シマイソタナグモ
Murdannia loriformis,シマイボクサ
Shortia rotundifolia,シマイワウチワ
Gymnogobius opperiens,シマウキゴリ
Zebrias zebrinus,シマウシノシタ
Octonoba uncinata,シマウズグモ
Vandellia anagallis,シマウリクサ
Alangium premnifolium,シマウリノキ
Nisia nervosa,シマウンカ
Eponisiella guttulinervis,シマウンカモドキ
Schismatogobius ampluvinculus,シマエソハゼ
Maackia tashiroi,シマエンジュ
Asplenium nidus,シマオオタニワタリ
Photinia wrightiana,シマカナメモチ
Neritina turrita,シマカノコガイ
Amphipyra pyramidea yama,シマカラスヨトウ
Chrysanthemum indicum var.indicum,シマカンギク
Davallia cumingii,シマキクシノブ
Ranunculus sieboldii,シマキツネノボタン
Cosmia achatina,シマキリガ
Canthigaster valentini,シマキンチャクフグ
Lonchura punctulata,シマキンパラ
Salarias luctuosus,シマギンポ
Coturnicops exquisitus,シマクイナ
Cyperus cyperinus,シマクグ
Odontosabula gloriosa,シマクサアブ
Gerres shima,シマクロサギ
Eristalis arbustorum,シマクロハナアブ
Coelambus chinensis,シマケシゲンゴロウ
Hydaticus bowringii,シマゲンゴロウ
Craniophora fasciata,シマケンモン
Sinopoda derivata,シマコアシダカグモ
Usana yanonis,シマコガシラウンカ
Cicurina maculipes,シマコタナグモ
Luscinia sibilans,シマゴマ
Cyclosa omonaga,シマゴミグモ
Pardosa hortensis,シマコモリグモ
Peritropis insularis,シマコモンキノコカスミカメ
Praia ussuriensis,シマコンボウハバチ
Oxyopes macilentus,シマササグモ
Sphedanolestes impressicollis,シマサシガメ
Lagerstroemia subcostata var.subcostata,シマサルスベリ
Actinidia rufa,シマサルナシ
Asiopodabrus shimashimanus,シマシマクビボソジョウカイ
Goodyera viridiflora,シマシュスラン
Excoecaria agallocha,シマシラキ
Trypanosyllis taeniaformis,シマシリス
Coelotes shimajiriensis,シマジリヤチグモ
Polypedilum medivittatum,シマジリユスリカ
Diplazium doederleinii,シマシロヤマシダ
Opuna annulata,シマスカシチビカスミカメ
Abudefduf sordidus,シマスズメダイ
Paspalum dilatatum,シマスズメノヒエ
Locustella ochotensis,シマセンニュウ
Schenkia japonica,シマセンブリ
Pleioblastus fortunei,シマダケ
Fraxinus insularis,シマタゴ
Lesteva shimadai,シマダヒメミズギワヨツメハネカクシ
Nebrioporus simplicipes,シマチビゲンゴロウ
Lasioglossum sexstrigatum,シマチビハナバチ
Isonychia shima,シマチラカゲロウ
Dictyon insulicola,シマツチケシハネカクシ
Batriscenellus insulicola,シマツヤアリヅカムシ
Commelina diffusa,シマツユクサ
Rondibilis insularis,シマトゲバカミキリ
Notiphila insularis,シマトゲミギワバエ
Cobitis biwae complex,シマドジョウ種群
Latouchia parameleomene,シマトタテグモ
Fraxinus griffithii,シマトネリコ
Grandidierella fasciata,シマドロソコエビ
Euphorbia hirta,シマニシキソウ
Ernoporus shimanensis,シマネコキクイムシ
Emberiza rutila,シマノジコ
Acanthurus triostegus,シマハギ
Eristalis cerealis,シマハナアブ
Alaba picta,シマハマツボ
Rubus lambertianus,シマバライチゴ
Stenus alter,シマバラオチバメダカハネカクシ
Paracardiophorus imasakai,シマバラコハナコメツキ
Oxypoda shimabarana,シマバラゴミハネカクシ
Quasimus shimabaraensis,シマバラチビマメコメツキ
Pselaphogenius shimabaranus,シマバラヒゲナガアリヅカムシ
Aleochara peninsulae,シマバラヒゲブトハネカクシ
Leiognathus fasciatus,シマヒイラギ
Chloris barbata,シマヒゲシバ
Agrypnus kusuii,シマヒメサビキコリ
Persicaria tenella,シマヒメタデ
Neuroctenus pacificus,シマヒラタカメムシ
Pamphilius volatilis,シマヒラタハバチ
Rhinogobius tyoni,シマヒレヨシノボリ
Takifugu xanthopterus,シマフグ
Ketupa blakistoni,シマフクロウ
Clubiona insulana,シマフクログモ
Corgatha nitens,シマフコヤガ
Cerithidea tonkiniana,シマヘナタリガイ
Elaphe quadrivirgata,シマヘビ
Orthotylus bilineatus,シマホソカスミカメ
Paragus fasciatus,シママメヒラタアブ
Aidia canthioides,シマミサオノキ
Pilea brevicornuta,シマミズ
Urnatella gracilis,シマミズウドンゲ
Eisenia foetida,シマミミズ
Ariadna insulicola,シマミヤグモ
Tainochus insulicola,シマムクゲアリヅカムシ
Tradescantia zebrina,シマムラサキツユクサ
Trechiama sigma,シマメクラチビゴミムシ
Crepidula onyx,シマメノウフネガイ
Bactrocera matsumurai,シマモクセイミバエ
Finella purpureoapicata,シマモツボ
Thalamorrhyncha isoneura,シマモンツヅリガ
Coelotes insulanus,シマヤチグモ
Mendoza suguroi,シマヤハズハエトリ
Pileostegia viburnoides,シマユキカズラ
Phalaris arundinacea ‘Picta‘,シマヨシ
Rhinogobius nagoyae,シマヨシノボリ
Eucarta fasciata,シマヨトウ
Tamias sibiricus,シマリス
Tamias sibiricus,シマリス
Shikokuconocephalopsis shimantoensis,シマントササキリモドキ
Mucrocalliope shimantoensis,シマントヨコエビ
Oreonetides shimizui,シミズサラグモ
Mesopristes iravi,シミズシマイサキ
Apenetretus dilatatus,シミズヌレチゴミムシ
Suwallia shimizui,シミズミドリカワゲラ
Rakantrechus etoi subterraneus,シミズメクラチビゴミムシ
Melita shimizui,シミズメリタヨコエビ
Ixalma guttulum,シミノコギリゾウムシ
Yamautidius dilaticollis,シミンダメクラチビゴミムシ
Euprepiophis conspicillatus,ジムグリ
Pterygopleurum neurophyllum,シムラニンジン
Coccothraustes coccothraustes,シメ
Meganola shimekii,シメキクロコブガ
Fukuia ooyagii,シモキタシブキツボ
Oroblemus sparsepilifer,シモキタメクラチビゴミムシ
Magnolia liliiflora,シモクレン
Amarygmus picitarsis,シモジマルキマワリ
Spiraea japonica var.japonica,シモツケ
Filipendula multijuga var.multijuga,シモツケソウ
Asplenium boreale,シモツケヌリトラノオ
Apareophora japonica,シモツケマルハバチ
Homotechnes motschulskyi shimotsuke,シモツケミヤマヒサゴコメツキ
Trechiama ohkawai,シモツケメクラチビゴミムシ
Keiskea japonica,シモバシラ
Salignus duplicatus,シモフリカスミカメ
Dermestes undulatus,シモフリカツオブシムシ
Eocanthecona japonicola,シモフリクチブトカメムシ
Actenicerus pruinosus,シモフリコメツキ
Austruca triangularis,シモフリシオマネキ
Tridentiger bifasciatus,シモフリシマハゼ
Scopula coniaria,シモフリシロヒメシャク
Psilogramma increta,シモフリスズメ
Lasioglossum frigidum,シモフリチビコハナバチ
Phigalia sinuosaria,シモフリトゲエダシャク
Callirhipis marmorea,シモフリナガクシヒゲムシ
Xenolea asiatica,シモフリナガヒゲカミキリ
Episinus kitazawai,シモフリヒシガタグモ
Yunohamella lyrica,シモフリヒメグモ
Oncocera faecella,シモフリマダラメイガ
Anthrenus museorum,シモフリマルカツオブシムシ
Dipoena punctisparsa,シモフリミジングモ
Luciogobius sp.5,シモフリミミズハゼ
Iwogumoa insidiosa,シモフリヤチグモ
Bomolocha benepartita,シモフリヤマガタアツバ
Philydrodes shimomurai,シモムラカタホソヨツメハネカクシ
Ceratocrabro shimoyamai,シモヤマギングチ
Trypoxylon shimoyamai,シモヤマジガバチモドキ
Catops nurukawae,シモヤマチビシデムシ
Mordellina shimoyamai,シモヤマヒメハナノミ
Bembidion shimoyamai,シモヤマミズギワゴミムシ
Homotechnes motschulskyi shimoyamai,シモヤマミヤマヒサゴコメツキ
Orussus rufipes,シモヤマヤドリキバチ
Spermophora senoculata,シモングモ
Hybomitra jersey,ジャーシーアブ
Cybaeus jaanaensis,ジャアナナミハグモ
Jujiroa ana,ジャアナヒラタゴミムシ
Coenonica sharpi,シャープカレハハネカクシ
Lordithon sharpianus,シャープキノコハネカクシ
Dytiscus sharpi,シャープゲンゴロウモドキ
Micropeplus sharpi,シャープセスジチビハネカクシ
Laccophilus sharpi,シャープツブゲンゴロウ
Gabrius sharpianus,シャープホソコガシラハネカクシ
Kytorhinus sharpianus,シャープマメゾウムシ
Xyleborus schaufussi,シャウフスキクイムシ
Iris japonica,シャガ
Solanum tuberosum,ジャガイモ
Pnyxia scabiei,ジャガイモクロバネキノコバエ
Stenus syaca,シャカオチバメダカハネカクシ
Anthriscus sylvestris,シャク
Hypopitys monotropa,シャクジョウソウ
Culex jacksoni,ジャクソンイエカ
Kurasawatrechus katoi,シャクダイジンメクラチビゴミムシ
Apatrobus jakuchiensis,ジャクチサンヌレチゴミムシ
Fagopyrum dibotrys,シャクチリソバ
Mecodina nubiferalis,シャクドウクチバ
Ceratarcha umbrosa,シャクトリノメイガ
Trifolium arvense,シャグマハギ
Paeonia lactiflora var.trichocarpa,シャクヤク
Caesalpinia decapetala,ジャケツイバラ
Oratosquilla oratoria,シャコ
Malva moschata,ジャコウアオイ
Atrophaneura alcinous loochooana,ジャコウアゲハ奄美沖縄亜種
Atrophaneura alcinous yakushimana,ジャコウアゲハ屋久島亜種
Atrophaneura alcinous miyakoensis,ジャコウアゲハ宮古亜種
Atrophaneura alcinous bradana,ジャコウアゲハ八重山亜種
Atrophaneura alcinous alcinous,ジャコウアゲハ本土亜種
Aromia orientalis,ジャコウカミキリ
Chelonopsis moschata,ジャコウソウ
Suncus murinus,ジャコウネズミ
